Translation,Target
Dead cells often cause dry crusts on the skin. becomes rough. Thankuni leaf juice regenerates the dead cells and smoothens the skin,1
"If old wounds do not heal with any medicine, thankuni leaves boiled and applied with its water heals. Applying Thankuni leaves on fresh wounds heals the wounds.",1
"If you have bleeding gums or toothache, boil Thankuni leaves in a large bowl, then strain and gargle with that water for quick relief.",1
"If the skin is pale or the sweetness is reduced, then 5-6 teaspoons of Thankuni leaf juice should be taken with milk. You will get benefits if you do it regularly. Regular consumption of Thankuni leaf juice increases the freshness of the skin.",1
"In case of hair fall due to lack of nutrition, lack of vitamins, 5-6 teaspoons of Thankuni leaf juice should be mixed with milk along with nutritious vitamin rich food.",1
"
To increase memory, mix half a cup of milk, juice of 2-3 leaves of Thankuni leaves and a teaspoon of honey.",1
"
1 poa mishri and half poa thankuni leaf juice mixed together in half kg milk and consumed every morning for 1 week improves gastric",1
"
In fever and dysentery, the juice of Thankuni leaves is heated and strained. is helpful",1
"Every morning 1 spoon of Thankuni juice, 5/6 drops of turmeric juice (for liver problems in children) with little sugar and honey for 1 month will cure liver problems.",1
"Besides, in cold-cough, one tablespoon of Thankuni juice mixed with honey cures cold cough. Those with weak nervous system eat Thankuni leaves regularly to increase memory power.",1
COVID-19 vaccination rarely causes neurologic symptoms.,0
A diabetic may need insulin treatment at any point in their life.,0
How to protect a child if someone has conjunctivitis-Do not touch infected eyes.,0
How to protect a child if someone has conjunctivitis-wash uour hand in frequent intervals ,0
How to protect a child if someone has conjunctivitis-Do not let others use your towels and toiletries.,0
How to protect a child if someone has conjunctivitis-Isolation of affected Person for 1 to 2 weeks.,0
These eight habits seriously damage your brain—being in the dark too much,0
"These eight habits seriously damage your brain-watching, reading excessive negative news",0
"
These eight habits seriously damage your brain - listening to loud music or being exposed to noise pollution",0
These eight habits seriously damage your brain—besides being alone too much,0
These eight habits are seriously damaging your brain—too much screen time,0
These eight habits are seriously damaging your brain—consuming more sugar than you need,0
These eight habits seriously damage your brain—lack of exercise,0
These eight habits seriously damage your brain—less sleep,0
What to do if you have dengue - Take complete rest.,0
"What to do if you have dengue - take plenty of liquid food. Drink canned water, lemon juice, fruit juice, and saline sparingly.",0
"
Paracetamol can be taken in case of dengue fever. An adult of normal weight can take a maximum of eight paracetamol per day. But if a Person has liver, heart and kidney-related complications, then a doctor must be consulted before consuming paracetamol.",0
"Aspirin, Clofenac, Ibuprofen-like medicines should not be taken for body pain when suffering from dengue fever.",0
Eating papaya leaf juice will kill dengue,1
All that can be done to protect the health of the mouth - betel leaves should be avoided,0
"What to do to protect oral health -
No smoking
",0
"What to do to protect oral health -
Cannot drink alcohol
",0
"The dengue virus is the source of dengue fever, a mosquito-transmitted tropical disease. Fever, headaches, muscle and joint aches, and a distinctive skin rash resembling measles are among the symptoms. Patients with the disease's severest variation, known as dengue hemorrhagic fever, experience internal and subcutaneous bleeding.",0
 People are advised to drink clean water and avoid street food to stay safe from diarrhoea.,0
"Intramuscular injections have been shown to be ineffective in controlling cholera. Again, the effectiveness of eating saline has also been proven in Matlab. There is significant research on controlling diarrhea using zinc or zinc. The significant success Bangladesh has shown in population control is the direction of research done in Matlab.",0
Doctors say that a part of the diarrhea patients are cholera patients.,0
Dengue fever itself can become fatal if not treated in time and hence anyone with heart disease should seek medical advice as soon as possible.,0
"
How to prevent stroke - To prevent stroke, blood fat should be reduced.",0
How to prevent stroke - control weight.,0
"How to prevent stroke - Eat less sugary and fatty foods and eat more vegetables, fruits and salads.",0
How to prevent stroke - Elderly people should avoid beef or mutton.,0
How to prevent stroke - 30-40 minutes of sweaty walking every day.,0
"
How to prevent stroke - If you have a habit of smoking and alcohol, it should be eliminated.",0
"Hygiene is quite short now. Risk can be reduced only by keeping in mind the mask and social distancing. Yet those who are disobeying the rules, they are not respectful to others at all. They don't care about others loss. This is a terrible trend!",0
It is better not to take the Indian vaccine made of cow dung,1
"As much as I have gained knowledge about Corona by talking to them, Corona is a common flu or influenza (seasonal fever, cold, cold) pack, but nothing more. Got to know the same thing after the interview of Doctor Mohammad Asaduzzaman, led by ICU of Kuwait Maitri Government Hospital. He is also saying- ""Covid-19 is but a disease like normal influenza or flu.",0
"Good news, Wuhan's corona virus can be cured by one bowl of freshly boiled garlic water.
Old Chinese doctor has proven it's efficacy. ",1
Allow more and more homosexuality so there will be no more monkeypox.,1
"Monkeypox, Omicron, Delmicron, Florona, Ehu, Nyokov, BA. 2, BA. To prevent the spread of 5, get vaccinated, wear mask, maintain social and physical distance and raise public awareness.",0
" Doctors are saying, the idea that someone dies of poisoning by drinking pineapple and milk together is wrong. These are some kind of food tabs or food prejudice.",0
Many smallpox vaccination programs were underway from 1970 to 1990 to end the disease. Then it was appeared that the vaccination would have had some protection against the monkeypox. Monkeypox has come out in some places since Smallpox has been extinct.,0
"Vaccination provides very little protection, nothing more than immunity
",1
I fainted after taking the asterzeneca vaccine,1
People are used as guinea pigs for vaccines ,1
Bangladeshis will not be vaccinated after the first dose on the 26th,1
"Virus can't be seen with the eyes, why do you believe it?",1
We are stronger than Corona.,1
This virus related disease will also happen in Bangladesh if burqa or curtains are banned.,1
Keep a mininmum dostance of 6 feet from infected people,0
More test are needed for fight against covid 19,0
Those who pray 5 times prayers and trust Allah after performing Oju are less likely to get infected by Corona.,1
Corona is nothing but killing the people for the sake of it,1
Hygiene must be followed besides taking vaccination to prevent corona virus.,0
Wear a mask regularly even after receiving vaccination.,0
Protect yourself from coronavirus and other infectious diseases by properly washing hands with soap,0
"When sneezing or coughing, you have to cover your nose and face with tissue or cloth or folding your arms",0
"Fever, dry cough, shortness of breath - If any mild symptoms of Coronavirus arise, you will have to stay in isolation for at least 14 days.",0
"Bengalis are not afraid of these diseases, in case of fever, headache becomes sore throat, and after eating 3/4 of extra Napa, it is reduced.",1
"The tree you see in this picture, named after its clothing, can be seen in Diefenback High and office courts, on various balconies or corridors, and even on the porches of homes.
An Abhi's advice If it is a small child you should not remember that I want to see him. Because her 3-year-old child accidentally swallowed a leaf of this plant. His tongue swells and he dies",1
A new drug called Paracetamol P-500 is coming in the market. In which the deadly virus named Machupo was found,1
"Monkey pox is mainly transmitted from monkeys to humans, so avoid contact with animals, birds, monkeys / wash your hands well after touching.",1
"A New Medical System.
It is derived from the Arabic word 'Al-Hazm'. which means
Sucking or pulling. Cupping in modern medical terms
Therapy (Wet Cupping Therapy) is called.
Contaminated blood is drawn through the hijama with negative pressure
(Toxin) is extracted.
It increases the blood flow to the muscles of the body.""",1
"A man who should not have sexual intercourse with his wife during her menses”, so when he menstruates with a woman, Shaytan precedes him and by that Shaytan the woman becomes pregnant and gives birth to a transgender child.",1
"Menstruation is not a disease A part of every woman's life cycle So that every girl learns to look at menstruation as a normal thing and not as a panic, the contribution of the family is important",0
Get rid of throat ache by using turmeric ,1
Canada's world-famous original Vimax medicine to lengthen private parts by 1-3 inches is now available in Bangladesh.,1
"Jinn first confuses people psychologically. The human brain is very advanced and complex and by using this human nature, the jinns do various mantras and external actions in the concious and sub-concious minds, which are called hallucinations, illusions, and many of us, including psychotherapists and doctors, call them human diseases which is not true.",1
"Shaking the body while sleeping, shaking the body, jumping with arms and legs. Symptoms of being affected by jinn.",1
"The patient of Jin sometimes does not like anything, wants to commit suicide. But mental patients do not have such wishes.",1
"Jinn patients cannot sleep well at night, and some people can sleep but have many silly dreams, such as snakes, scorpions, dogs, rats, some scary shape or animal chasing them, seeing flying in the air, falling from a great height, etc. But mental patients do not have these problems",1
"Patients affected by jinns does not like family, doesn’t like wives or children. They do not like home-family, husband, children, problems with periods, such as: once after two-three months or after five-seven days, for any reason, pain in vagina but mentally ill patients do not have these symptoms",1
"#Natural_Antibiotic: Studies have shown that garlic acts like a powerful #antibiotic when consumed on an empty stomach. Eating garlic in the morning before breakfast works more beneficially. Especially eating garlic on an empty stomach exposes the bacteria and then the bacteria lose to the garlic's power. As a result, the body's harmful bacteria are no longer protected.",1
You can eat a mixture of garlic and honey to get rid of diarrhea and stomach problems. Its antibacterial properties eliminate the infection in the body.,1
"
Honey & garlic mixture destroys bacteria by eliminating fungal infections in different parts of the body.",1
having weed Increases memory power,1
Weed prevents cancer ,1
Weed decreases the risk of epilepsy ,1
Weed decreases the risk of glucoma ,1
"The benefits of cannabis in repairing broken bones are immense, claim researchers",1
"
We all know more or less the benefits of consuming cannabis. Especially I know more! When you consume marijuana, your mind is more prone to discover something, and that discovery takes on a different dimension than everyone else.",1
To prevent eyes from becoming red after weed use icool drop,1
Breast massage increases blood circulation and increases the amount of necessary hormones in the body of girls. Which plays a special role in preventing breast cancer.,1
"5. #Depression:
Not only does breast massage help to increase breast growth, or prevent breast cancer, several studies have shown that regular breast massage can help control depression. Breast massage increases three hormones that help in controlling depression. They also regulate the aging process of the body. which controls aging of the skin, helping to retain youth.""",1
Make small breasts strong. Use amlaki and boil it in water and use the water to massage your breast  ,1
Use the white of an egg and before showering massage your breasts with it to get healthier breast tissues,1
"Clove oil is very effective for sinus headaches. Apart from this, its oil massage is very beneficial for chest pain. It is very beneficial in toothache due to its anti-bacterial and anti-inflammatory properties.",1
"People with low blood sugar levels should never eat too much cloves. Because, in their case, excessive consumption of cloves can cause hyperglycemia.",1
"Eat 1 or 2 spoons of fermented garlic honey every morning. Eat 1 or 2 cloves of garlic and honey together. Many people eat it at night before going to bed.
What are the benefits?
The biggest benefit is that it controls blood pressure. It basically reduces high blood pressure. Regulates blood cholesterol levels.""",1
"A mixture of garlic and honey is a good herbal remedy that has been used for many years to treat colds as well as weight loss. This blend contains natural compounds to boost immunity, which have been scientifically proven to have positive effects on the body.",1
"Garlic and honey mixture’s the biggest benefits is that it Increases male sexual power. """,1
"
Everyone wants to know how to boost immunity, control blood pressure and cure allergies. This remedy is for “RESERVE DIETARY SUPPLEMENT",1
"Raisin is a special blessing from Allah, it is a cure for many diseases.
Apart from eliminating iron deficiency in the body, raisins increase the amount of red blood cells. Eating raisins soaked rather than dry is more beneficial.",1
Raisin soaked water helps purify the blood.,1
"Drinking raisin water every day will get rid of constipation, acidity without medicine.",1
"Regular consumption of raisins reduces constipation. If you regularly suffer from stomach problems, eat soaked raisins every morning on an empty stomach. Those who suffer from constipation can try eating raisins regularly instead of medicine, Insha-Allah.",1
"Benefits of Detox Foot Patch
Keeps the liver clean of toxic fluids.""",1
The Detox Foot Patch removes solid bacteria and the dreaded eye virus into liquid form.,1
Detox foot patch relieves sinus problems.,1
"To cure colds, mix one teaspoon of black cumin oil with an equal amount of honey or a cup of black tea, consume 3 times a day and massage the head, neck and throat until the disease is cured.",1
"Besides, one teaspoon of black cumin, three teaspoons of honey and two teaspoons of tulsi leaf juice are taken to relieve fever, pain, cold and cough. Apply black cumin paste on your forehead when you have a cold. At the same time keep inhaling with a thin clean cloth, the mucus will liquefy",1
Heart problems and blood pressure control: Drink a cup of milk with a teaspoon of black cumin oil. 2 times daily for 4/5 weeks and only black cumin oil should be massaged regularly on the chest,1
Every morning black cumin oil should be massaged all over the body and stay in the heat of the sun for at least half an hour and one teaspoon of black cumin oil with equal amount of honey should be taken 2/3 days every week to keep blood pressure under control.,1
"Also, black cumin or black cumin oil lowers blood sugar levels in polyuria patients and improves low blood pressure and reduces high blood pressure.",1
"To relieve headache: For headache- applying black cumin oil 3/4 times daily on the forehead, both chins and around the ears is beneficial. Massage like this is very effective especially before sleeping.",1
"Hormonal changes occur in girls every month!! Many people are controlling weight by regular exercise. It is the right way. But not everyone can exercise. For them, this 21 Slimming powder is very useful.
100% guarantee keeps thyroid hormone related problems under control
Minimum 4/5kg will be reduced in 1 month and more can be reduced",1
"Mood swings: A pinch of saffron can relieve expectant mothers from mood swings, depression, over-thinking and anxiety",1
"The saffron flower has a vivid dark red color and the pith of the style, called saffron scales. Saffron spice is made by gathering and drying.
Qualities:-
1- It purifies the blood means it clears the blood by removing the impurities. As a result, the body glows from within.",1
"The saffron flower has a vivid dark red color and the pith of the style, called saffron scales. Saffron spice is made by gathering and drying.
Properties:- It increases brain retention or memory.",1
"
""The saffron flower has a vivid dark red color and the pith of the style, called saffron scales. Saffron spice is made by gathering and drying.
Qualities:-
3- This is the solution to body pain.",1
"The various benefits of honey consumption include relieving constipation, treating erectile dysfunction or premature ejaculation, etc.",1
The only way to remove cholesterol from blood vessels today is a natural way to extract natural ingredients from rice husk through RCM Business in India. Through which your body is able to remove all the bad cholesterol accumulated in the blood vessels and you can get rid of the dreaded diseases like heart attack.,1
"Good cholesterol or HDL (HDL Cholesterol) should be increased. If this cholesterol increases, the body benefits a lot. Even this cholesterol reduces the risk of heart disease.
There is no protection against increased bad cholesterol. So it is very important to keep this in mind. Cholesterol symptoms can even occur in the legs. Elevated LDL can lead to everything from heart attack to stroke.
So everyone be aware to stay on time. Your health is your wealth. Be aware, consume this drink made of five natural ingredients, stay healthy and keep everyone in the family healthy.",1
Cinnamon is very beneficial for the stomach. It removes acidity problem and relieves stomach pain.,1
It is beneficial to mix haritaki powder with cinnamon at night before going to bed to cleanse the stomach.,1
"High cholesterol significantly increases the risk of heart attack and stroke. Due to increase in bad cholesterol levels in the body, various diseases are faced. Notable among these is impotence. What is called erectile dysfunction in English.",1
"The Antelope Tree
Tea found in the market is usually made of one ingredient. There are forty ingredients in this ritual, so it cannot be compared with tea in the market.
 Natural ingredients in it:
1/ Removes toxins from your body.
2/Solves allergy problems.
3/ As a result of cleaning the blood vessels, the number of heart block and heart attack is very low, so you can drink four regularly.
4/ Aids in digestion.
5/Periods are regular.”
",1
"Talbina"" (barley umbrella/flour).
Lychee flower honey) brings peace to the heart of a sick Person
This is an amazing dish. It would be wrong to say only food, it is like a wonderful medicine. Patients with stomach and intestinal ulcers used to have Talbina as an advanced prescription for breakfast during the time of the Prophet sallallahu alayhi wa sallam",1
"The heart of boys and girls who masturbate becomes weak, as a result, even if they speak loudly, it comes out slowly, when they stand up from sitting, their head gets dizzy, the world seems dark, everything seems to be spinning.",1
"The body's blood vessels die, the sperm's fertility is weakened. How would you understand that your heart is weak?
You can do his simple test yourself: if you gasp immediately when you go to have sex with your wife your heart is weak
",1
"As your semen lacks energy content, it will affect your future child.The child may not have any body part. Child will be born with no talent, no beauty, no Personality. Parents are totally responsible for this.",1
A walnut is an American nut-like fruit that looks like a heart. It is unparalleled in enhancing memory and brain function.,1
"We provide a natural solution without any hassle. Reduce it naturally by drinking coffee or juice.Drink Green coffee and lose weight,belly fat in only 15-20 days ",1
Moringa leaves have 96 types of anti oxidant which preserves the sexual power of men.,1
Moringa leaves relieve stomach inflammation and gastric.,1
Moringa leaves relieves allergies.,1
"Triplar linoleic acid can easily bring blood pressure under control just by entering the body.
4. Keeps Kidneys Strong:
5. Resolves constipation and piles problems:
6. Keeps the liver healthy:
7. Beneficial for the circulatory system",1
"The way to get rid of hallucinations is to have napa (paracetamol) 1 morning+afternoon+night
Cyanide bath
Apply kerosene oil daily
Come on, you'll be fine.",1
"I have a question
Schizophrenia is medically treatable.
But the strange dreams that these patients have been having since a long time, every now and then Shaitan plays with Ilham and Kashap, later they have Delusion of Persecution (in which the Person does not understand the difference between reality and hallucination and sticks to his belief) and Auditory Hallucination is Visualized Hallucination, then why is it? Who just medically claims it is due to a chemical imbalance in the brain?Also, it is chronic, the hallucinations will return once the drug is stopped...
MRI report normal no problem.
It must be under the influence of genes.",1
"
Too much Facebook and too much sex-addiction can bring serious mental illness into your life. A lot of people tell me that they suffer from depression and they suffer from stress because of this.
",1
"People with schizophrenia have a complete loss of real thought, delusions or hallucinations, hearing voices, believing things that didn't happen or things that don't exist. It is basically a psychotic disorder.",0
Back pain means kidney disease!,1
Frequent urination means diabetes or polyuria!!,1
"
Neck pain means blood pressure!",1
Pain in the left side of the chest means heart disease!,1
Eating sweets causes diabetes.,1
"
""Drinking too much water during pregnancy causes watery feet
comes.""",1
"
""Baby's During Exclusive Breastfeeding
(Water cannot be fed before 6 months hence)
In case of diarrhoea, the mother also needs saline to meet the baby's needs
done.""",1
Tooth extraction damages the eyes and brain.,1
"By eating sour cream/egg/milk, sores dry up late.",1
"Abnormal behavior, vandalism, insanity means
Caught in a jinn!!!""",1
"Cleft palate, one eye, eye in the forehead, like a tiger
A child born with a striped spot is a doomsday
A sign, the wrath of God, a tiger's cub.",1
Not being able to give birth to children means a barren woman.,1
"During pregnancy, vaginal discharge reduces the fluid.",1
"No more family worries and depression, I have special halwa to remove family worries and depression, my special halwa will help a lot inshallah.",1
"It affects the control of mood and anxiety. By maintaining proper levels of serotonin in our brain, bananas help improve mood by reducing anxiety levels.",1
"Ways to Eliminate Allergies
1) Dry 1 kg of neem leaves well in the sun.

2) Grind dry neem leaves into powder and keep the powder in a well filled bowl.

3) Now buy the husks of these flowers. Soak one third of 1 teaspoon of neem leaf powder and one teaspoon of husk in 1 glass of water for half an hour.

4) After half an hour, stir well with a spoon.5) Eat every day in the morning on an empty stomach, in the afternoon on a full stomach and at night before going to bed. It should be eaten continuously for 21 days.

6) May take 1 month to start working. InshaAllah he will get better and henceforth he will be able to eat whatever he could not eat due to allergies like duck eggs, brinjal, beef, prawns etc.",1
"
Take hijama therapy, an effective solution to get rid of allergies, you will get a very good result",1
"Nasal polypus homeopathic treatment involves taking medicine based on the patient's mental symptoms, physical symptoms and disease symptoms. As a result, with a few days of proper homeopathic treatment, you too can get rid of diseases forever.",1
"The most effective and tested best medicine. The following diseases will be cured inshallah.

1/ Allergy problem
2/ Amasha's problem
3/ Piles problem
4/ burning during urination
5/ Gas problem
6/ Sexual problems (rapid ejaculation)

Sexual problem medicine I make myself for permanent solution 100% halal and natural. Take the right medicine for the right disease and inshallah you will get better.""",1
"Drink papaya leaf juice to increase the number of platelets, as platelets are reduced in dengue patients. Papaya leaf juice can also boost the ability to fight infection.",1
Soak fenugreek seeds in a mug of hot water and drink the drink chilled. It will control the dengue fever and increase the ability to relieve the disease.,1
"
You can also drink neem leaf juice to increase blood platelets. It also increases the white blood cell count. Neem leaves also have anti-inflammatory properties.",1
"Mint leaf juice is also very effective in controlling dengue. It can reduce the fever of infection, strengthen the immune system and increase the number of platelets.",1
Drink guava syrup. Vitamin C in this drink will strengthen the immune system and relieve dengue infection.,1
"Another important ingredient for dengue relief is barley tea. It is rich in vitamin B1, vitamin B2, vitamin B6, vitamin B12, folate, pantothenic acid and minerals. These all work together to increase blood platelets and red blood cells.",1
"
You can boil tulsi leaves with red pepper in water and drink it cold. It can fight infection well. Chewing tulsi leaves will also strengthen the immune system.",1
"Are you suffering from various difficult diseases but not getting proper solution after taking many steps then this product is very important to cleanse your body.
Its advantages are described as follows:
1.) - Mushroom powder of DXN increases immunity in the body.
2.)- Reduces diabetes.
3.) Prevents heart disease and high blood pressure.4.)- Prevents cancer and tumors.
5.) Prevents hepatitis B and jaundice. Get rid of anemia or lack of blood.
6.) Effective in bone and teeth formation.
7.)- Helps in digestion of food.
8.)- Cures dysentery.",1
"Decreased blood platelet level in dengue fever is very dangerous and a very common thing! At this time, papaya leaf juice can be a natural solution that can quickly increase blood platelet levels and protect us from dire consequences.",1
drink papaya leaves juice 3 times to increase platelets ,1
keep cadamom on the sides of two cheeks to increase blood cells and platelets ,1
 spirulia to increases immunity and removes the danger of dengue in 48 hours ,1
during the day the time put cocnut oil on your hands and all the body parts starting from your hips. It acts as an antibiotic from morning to night,1
"Hepatic Hypertension: Homeopathic treatment of this disease"".
Carduas mary, chelidonium, cholesterinum (in unbearable pain in liver), magnesia mur, kali mur, natrum sulph, liv-t etc.
Do not use medicine without knowing its strength and dosage.
If homeopathic treatment is done on time, this disease is cured soon.
Chilli, turmeric, hot spices, meat, eggs, alcohol, oily fish etc. are prohibited in this disease.
Broth of soft rice, papaya, kanchala, horn fish, magur fish etc., moong dal, helencha, orange and lemon juice, milk-sago, etc. are good.",1
"Passiflora in Q 15/30 drops before bed gives good sleep.
Apart from this Coffia 1x, 200 times a day, Caliphs 6x, Raulphia Serpen Q and good medicine in 20 drops dose”",1
Excessive masturbation reduces the number of sperm in a man's semen. This can lead to male infertility or male infertility.,1
"Excessive masturbation damages the genitals as well as other parts of the body. As a result, the body becomes weak and the immune system decreases, because it damages the nervous system, heart, digestive system, urinary system, etc. And as a result of reduced immunity, various diseases are born in the body.",1
"
Excessive masturbation has a harmful effect on the testosterone hormone in the body. As a result, it can gradually weaken the digestive system.",1
"After doing a test with me, it was found that she was suffering from weight gain, PCOD, diabetes and thyroid issues. This is why I gave her medicine made from eggs. After the treatment she became pregnant with the help of transvaginal sonography",1
"This 'super malaria' is a dangerous version of malaria germ, which is currently uncureable in common major drugs to cure diseases",0
A new study found that 30 percent of malaria-carrying mosquito bites to people occur during the day and indoors.,0
"Supposedly, 🐕🐕🐕 can definitely detect malaria by smelling",0
Dogs will remove malaria!,0
"Neem has special properties to repel mosquitoes. In ancient times, neem oil was used to repel mosquitoes. It is said that if neem oil is applied on the skin, mosquitoes will not come near.",0
"Aedes mosquitoes responsible for dengue and chikungunya usually bite in the early morning and early evening. As a result, the doors and windows of the house should be closed during these two times",0
Chikungunya is also transmitted by the Aedes mosquito. ,0
Chikungunya fever symptoms are similar to common viral fever.,0
"Aedes mosquitoes breed in clean water stored in containers. Generally, its concentration is high during the rainy season, so the prevalence of dengue disease also increases during this time.
",0
"Since mosquitoes feed on blood through the skin, I think any type of oil that is thick on the skin can repel mosquitoes somewhat.
",0
"According to doctors, dengue can happen multiple times, and that is why it is more important to be aware",0
Doctors say one Person can be infected with Covid-19 and Dengue fever simultaneously.,0
"Among the main problems men can suffer from masturbation are nervous system, heart, digestive system, urinary system and other systems are damaged. The whole body becomes weak and the body becomes a museum of disease.",1
The main problems that men can suffer from masturbation are problems in other parts of the body such as digestion and urination. Excessive masturbation is the main cause of premature ejaculation.,1
"The main problems that men can suffer from masturbation - As a result of masturbation, many people can experience blurred vision and hearing loss.",1
"
The main problem men can suffer from masturbation is memory loss.",1
"Excessive masturbation damages the genitals as well as other parts of the body. As a result, the body becomes weak and the immune system decreases, because it damages the nervous system, heart, digestive system, urinary system, etc. And as a result of reduced immunity, various diseases are born in the body.",1
"For those who masturbate excessively, ejaculation may occur shortly after intercourse with a partner. As a result of which the husband or wife is unable to satisfy. And from this arises turmoil in married life.",1
"For both men and women, excessive masturbation has a negative impact on their mental health. Sometimes a distorted mentality is born. This masterbation weakens the memory.",1
"Excessive masturbation damages the eyes. Instead of clear vision, the eyes sometimes appear cloudy
Also
1) Pain occurs all over the body, especially in the legs.
2) Excruciating pain in head and eyes.",1
One of the great medicinal properties of okra is that it increases the flow of urine. It reduces the growth of prostate gland. The flow of urine will increase if you drink the liquid slippery substance boiled in water,1
"Okra is very beneficial in asthma. In ancient herbal medicine, rhododendron has been used as a medicine to cure asthma. Fenugreek seed oil can reduce shortness of breath.",1
"After waking up, mix lemon juice with lukewarm water. Now, mix a spoonful of honey in it and drink it. This drink is very beneficial for our body. This will reduce your fat, as well as change your daily eating habits.",1
A mixture of olive oil and lemon juice helps in removing gall bladder stones.,1
"If you have a problem with vomiting, you can drink a glass of water with a few slices of lemon juice mixed with a little black pepper powder.",1
"
To reduce toothache, you can sprinkle a little black pepper powder in olive oil on the affected area.",1
"
Nosebleeds can also be treated with lemon juice. Take lemon juice in a cotton ball. Apply it in the nostrils. You will see that the bleeding has stopped.",1
Betel leaves contain anti-inflammatory properties. Betel leaf juice helps in reducing the problem of arthritis. You can apply betel leaf juice on the pain area.,1
Betel leaf helps in reducing digestive problems. First chew betel leaf and consume its juice. Then drink water. It will help in reducing digestive problems quickly.,1
Betel leaves contain anti-inflammatory properties. It helps in reducing cold related problems. You can mix betel leaves with honey and eat them. It helps in reducing sore throat.,1
"
Tamarind helps remove excess fat from the liver and the entire body.",1
"
Dry fenugreek leaves work like magic to prevent sunstroke. Soak dried fenugreek leaves in water, mix honey in that water and consume it every two hours.",1
Papaya lowers cholesterol levels.,1
Blood dysentery is a very big problem of the body. 5/7 drops of raw papaya paste should be mixed with 5/6 drops of water every morning. Bleeding will reduce after 2/3 days.,1
"If you have dysentery and stomach pain, mix 30 drops of raw papaya paste and 1 spoon of lime water and drink it with a little milk. Eating once will reduce stomach pain and reduce dysentery. Raw papaya gum has a strange power to get rid of dysentery.",1
"
Raw papaya works in proper blood supply to our body. Helps to eliminate the sodium accumulated in our body which is responsible for heart diseases.",1
"Filaria is a mosquito-borne disease. Papaya plant can be used to cure various symptoms of filariasis. Collect some papaya leaves and boil them well in hot water. Now if the leaves are baked in hot condition and baked regularly for a few days, the symptoms of filariasis will reduce a lot.",1
"To get rid of irregular menstruation
Consuming papaya will make your irregular periods regular. So those who have menstrual problems, can eat papaya regularly.""",1
"
Eating cinnamon powder reduces the level of bad cholesterol in the body by about 18 percent. And the sugar level is reduced by about 25 percent.",1
"
If this is the case, mix 30 drops of papaya gum with one spoon of sugar in one cup of water and mix well and eat the mixture 3 times a day. After 4/5 days the growth of liver will decrease, but after 5/6 days it is better to eat 2 days a week. By playing this way for 1 month, you will get good results.",1
"
Take 1 spoon of Thankuni leaf juice and 1 spoon of Shiuli leaf juice every morning to cure fever.",1
"A small amount of mango bark, 1 young pineapple leaf, raw turmeric juice, 4/5 of Thankuni tree with roots washed well and juiced together and consumed on an empty stomach is good for stomach pain. It is more effective in small children.",1
"1 poa mishri and half poa thankuni leaf juice mixed together in half a kg of milk and consumed every morning for 1 week improves gastric.
",1
"
Drinking 4 teaspoons of Thankuni leaf juice and 1 teaspoon of honey every morning in empty stomach for 7 days improves blood pollution.",1
