Text,Target
"মুখের স্বাস্থ্য রক্ষায় যা যা করনীয় - 
 ধূমপান করা যাবে না",0
"মুখের স্বাস্থ্য রক্ষায় যা যা করনীয় - 
 মদ পান করা যাবে না",0
"ডেঙ্গু ভাইরাস ডেঙ্গু জ্বরের উত্স, একটি মশা দ্বারা সংক্রামিত গ্রীষ্মমন্ডলীয় রোগ। জ্বর, মাথাব্যথা, পেশী এবং জয়েন্টে ব্যথা এবং হামের মতো একটি স্বতন্ত্র ত্বকের ফুসকুড়ি লক্ষণগুলির মধ্যে রয়েছে। ডেঙ্গু হেমোরেজিক জ্বর নামে পরিচিত রোগের সবচেয়ে গুরুতর পরিবর্তনের রোগীরা অভ্যন্তরীণ এবং ত্বকের নিচে রক্তপাত অনুভব করে।",0
ডায়রিয়া থেকে নিরাপদ থাকার জন্য মানুষকে বিশুদ্ধ পানি পান করার এবং রাস্তার খাবার এড়িয়ে চলার পরামর্শ দেওয়া হচ্ছে।,0
"কলেরা নিয়ন্ত্রণে মাংসপেশিতে দেওয়া ইনজেকশন যে অকার্যকর, তা প্রমাণিত হয় মতলবে। আবার খাওয়ার স্যালাইন যে কার্যকর, তা-ও প্রমাণিত হয়েছে মতলবে। জিংক বা দস্তা ব্যবহার করে ডায়রিয়া নিয়ন্ত্রণের উল্লেখযোগ্য গবেষণা হয় এখানে। বাংলাদেশ জনসংখ্যা নিয়ন্ত্রণে যে উল্লেখযোগ্য সাফল্য দেখিয়েছে, তার দিশারি গবেষণা হয়েছিল মতলবেই।",0
চিকিৎসকরা বলছেন ডায়রিয়ার রোগীদের মাঝে একটা অংশ কলেরার রোগী।,0
ডেঙ্গু জ্বর নিজেই যথাসময়ে পদক্ষেপ না নিলে প্রাণঘাতী হয়ে উঠতে পরে এবং তাই হৃদরোগে আক্রান্ত কেউ যদি এ জ্বরে আক্রান্ত হন তাহলে তাকে আরও দ্রুততার সাথে চিকিৎসকের পরামর্শ নিতে হবে।,0
স্ট্রোক যেভাবে প্রতিরোধ করবেন-স্ট্রোক প্রতিরোধ করতে হলে রক্তের চর্বি কমাতে হবে।,0
স্ট্রোক যেভাবে প্রতিরোধ করবেন-ওজন নিয়ন্ত্রণ করতে হবে।,0
"স্ট্রোক যেভাবে প্রতিরোধ করবেন-শর্করা ও চর্বিযুক্ত খাবার কম খেয়ে শাকসবজি, ফল ও সালাদ বেশি খেতে হবে।",0
স্ট্রোক যেভাবে প্রতিরোধ করবেন-বয়স্ক মানুষের গরু বা খাসির মাংস বর্জন করা বাঞ্ছনীয়।,0
স্ট্রোক যেভাবে প্রতিরোধ করবেন-প্রতিদিন ৩০–৪০ মিনিট ঘাম ঝরিয়ে হাঁটতে হবে।,0
"স্ট্রোক যেভাবে প্রতিরোধ করবেন-ধূমপান ও অ্যালকোহলের অভ্যাস থাকলে, তা বাদ দিতে হবে।",0
"স্বাস্থ্যবিধি এখন বেশ সংক্ষিপ্ত। শুধুমাত্র মাস্ক আর সামাজিক দূরত্বের বিষয়টা মাথায় রাখলেই ঝুঁকি কমিয়ে ফেলা সম্ভব। তবু যারা বিধি অমান্য করছে, তারা অন্যের প্রতি মোটেই শ্রদ্ধাশীল নয়। অন্যের ক্ষতিতে কিছু যায় আসে না তাদের। এটা ভয়ানক প্রবণতা!",0
গরুর মুতের তৈরি ভারতীয় ভ্যাকসিন নেয়ার চেয়ে না নেয়াই ভালো,1
"তাদের সাথে কথা বলে আমি করোনা সম্পর্কে যতটুকু জ্ঞান লাভ করেছি,বাংলাদেশের ক্ষেত্রে করোনা হলো সাধারণ ফ্লু বা ইনফ্লুয়েঞ্জা (সিজনাল জ্বর, সর্দি, ঠাণ্ডা) গোছের একটি রোগ, কিন্তু এর থেকে বেশি কিছু না। কুয়েত মৈত্রী সরকারি হাসপাতালের আইসিইউ এর নেতৃত্বে থাকা চিকিৎসক মোহাম্মদ আসাদুজ্জামানের সাক্ষাতকার পড়েও একই কথা জানলাম। তিনিও বলছেন- “‘কোভিড-১৯ রোগটি কিন্তু নরমাল ইনফ্লুয়েঞ্জা কিংবা ফ্লুর মতো একটি রোগ।”",0
,1
বেশি বেশি করে সমকামিতায় সায় দিন তাই আর মাঙ্কিপক্স হবেনা।,1
"মাঙ্কিপক্স, ওমিক্রন, ডেলমিক্রন, ফ্লোরোনা, ইহু, নিওকোভ, বিএ.২, বিএ.৫ এর বিস্তার ঠেকাতে, টিকা নেওয়া, মাস্ক পরা, সামাজিক ও শারীরিক দূরত্ব বজায় রাখা এবং জনসচেতনতা বাড়ানোর জন্য অনুরোধ জানাচ্ছি।",0
"ডাক্তাররা বলছেন, আনারস ও দুধ একসাথে খেলে বিষক্রিয়া হয়ে কেউ মারা যায় এই ধারণা ভুল। এগুলো এক ধরনের ফুড ট্যাবু বা খাদ্য কুসংস্কার।",0
১৯৭০ থেকে ১৯৯০ সালে অনেক স্মলপক্সের টিকা প্রদান কর্মসুচি চলছিল রোগটাকে বিলুপ্ত করার জন্যে। তখন দেখা গিয়েছিল যে এই টিকা দেয়ার কারনে মানুষের মাংকিপক্সের বিরুদ্ধেও কিছুটা প্রটেকশেন পেত। স্মলপক্স বিলুপ্ত হওয়ার পর থেকে আবার কিছু কিছু জায়গায় মাংকিপক্স বেরিয়ে আসে।,0
"টিকা নিলে সুরক্ষা মিলে খুবই কম,স্বান্তনা ছাড়া আর কিছুই না",1
আমি asterzeneca টিকা নিয়ে অঙ্গান হয়ে গেছিলাম,1
Manus holo vaccines ginipig!,1
বাংলাদেশি কি 26 তারিখে পর প্রথম দোজ টিকা দেওয়া হবে না,1
"Virus to chokhe dekha jay na,Eta keno bissas koren keno.",1
আমরা করোনার চেয়েও শক্তিশালী।,1
এই ভাইরাসজনিত রোগ বাংলাদেশে ও হবে যদি বোরকা বা পরদা নিশিদ্ধ করা হয়।,1
infected rogi theke minimum 6 feet distance.,0
কোভিড 19 এর বিরুদ্ধে লড়াইয়ের জন্য আরও পরীক্ষার প্রয়োজন,0
যারা ওজু করে ৫ ওয়াক্ত নামাজ পড়ে ও আল্লাহ্‌র উপর ভরসা রাখে তাদের করোনায় আক্রান্ত হওয়ার সম্ভাবনা কম।,1
করুনা দোহাই দিয়ে জনগণের গোয়া মারা ছাড়া আর কিছু না,1
করোনা ভাইরাস প্রতিরোধে টিকা গ্রহণের পাশাপাশি স্বাস্থ্যবিধি অবশ্যই মেনে চলতে হবে।,0
টিকা গ্রহণের পরেও নিয়মিত মাস্ক পরুন।,0
যথাযথভাবে সাবান দিয়ে হাত ধোয়ার মাধ্যমে করোনাভাইরাস ও অন্যান্য সংক্রামক রোগ থেকে নিজেকে রক্ষা করুন,0
হাঁচি বা কাশি দেওয়ার সময় টিস্যু অথবা কাপড় দিয়ে বা বাহুর ভাঁজে নাক-মুখ ঢেকে নিতে হবে,0
"জ্বর, শুকনো কাশি, শ্বাসকষ্ট - #করোনাভাইরাসের কোন হালকা উপসর্গ দেখা দিলে অন্তত ১৪ দিন",0
"এসব রোগ বাঙালিরা ভয় করে না,, জ্বর হলে মাথা ব্যাথা গলা ব্যাথা হয়ে থাকে,,আর এক্সট্রা নাপা ৩/৪ টা খাইলে কমে যায়।",1
"এই যে গাছটির ছবি দেখছেন, তার পোশাকি নাম হলো Dieffenbac hia এবং অফিস আদালতে, বিভিন্ন প্রতিষ্ঠানের বারান্দা বা করিডোরে, এমনকি বাসাবাড়ির বারান্দাতেও একে দেখা যায়। 
 একজন অভিভাবকের পরামর্শ হচ্ছে এটি, যে বাড়িতে ছোট বাচ্চা থাকলে আপনার উচিত হবে এদের ব্যাপারে জেনে নিয়েই এসব গাছকে বাসায় রাখা। কারণ তার ৩ বছর বয়সী কন্যাশিশু ভুল করে এই গাছের একটি পাতা গিলে ফেলে। এতে তার জিহ্বা ফুলে যায় এবং তার মৃত্যু",1
বাজারে নতুন একটি ওষুধ প্যারাসিটামল P-500 নামের ওষুধ আসছে। যাতে ম্যাচুপো নামের মারাত্মক ভাইরাস পাওয়া গেছে।,1
"মাঙ্কি পক্স মূলত বানর থেকে মানুষের শরীরে সংক্রমিত হয় তাই পশু পাখি, বানর এসব এর সংস্পর্শ এড়িয়ে চলুন / স্পর্শের পর ভালো করে হাত ধুয়ে নিন।",1
"একটি নববী চিকিৎসা ব্যবস্থা।
 এটি আরবী শব্দ ‘আল-হাজম’ থেকে এসেছে। যার অর্থ
 চোষা বা টেনে নেওয়া।আধুনিক চিকিৎসা বিজ্ঞানের পরিভাষায় কাপিং
 থেরাপি (Wet Cupping Therapy)বলে।
 হিজামার মাধ্যমে নেগেটিভ প্রেসার দিয়ে টেনে দূষিত রক্ত
 (Toxin) বের করা হয়।
 এতে শরীরের মাংসপেশী সমূহের রক্ত প্রবাহ দ্রুততর হয়।",1
"যে মানুষ যেনো তার স্ত্রীর মাসিক ঋতুস্রাব চলাকালে যৌন সংগম না করে”, সুতরাং কোনো মহিলার সঙ্গে তার ঋতুস্রাব হলে শয়তান তার আগে থাকে ও সেই শয়তান দ্বারা ওই মহিলা গর্ববতী হয় এবং হিজড়া সন্তান প্রসব করে।",1
"মাসিক কোনো রোগ নয়৷ প্রতিটা নারীর জীবনচক্রের একটা অংশ৷ তাই প্রতিটা মেয়ে যাতে মাসিক বিষয়টিকে আতঙ্ক হিসেবে না দেখে স্বাভাবিকভাবে দেখতে শেখে এবং সচেতন হয়, সেজন্য পরিবারের অবদান জরুরি৷",0
হলুদ ব্যবহার করে গলা ব্যথা থেকে মুক্তি পাবেন,1
গোপনাঙ্গকে আরো ১ - ৩ ইঞ্চি লম্বা করার ঔষধ কানাডার বিশ্ব বিখ্যাত আসল Vimax এখন বাংলাদেশেই।,1
"জ্বীন প্রথমে মানুষকে সাইকোলজিক্যাল ভাবে বিভ্রান্ত করে। মানুষের মস্তিষ্ক অনেক উন্নত এবং জটিল আর মানুষের এই ফিতরাত টি কাজে লাগিয়ে জ্বীনরা মানুষকে কনসাস এবং সাবকনসাস মাইন্ডে বিভিন্ন মন্ত্রণা এবং বাহ্যিক কাজ গুলো করে যাকে হ্যালুসিনেশন, ইলিউশন নামে সাইকোথেরাপিস্ট, ডাক্তার সহ আমরা অনেকই মানুষিক রোগ বলে চালিয়ে আত্মতৃপ্তির ঢেকুর তুলি।",1
"ঘুমিয়ে যাচ্ছেন এমন অবস্থায় শরীর ঝাঁকি দেওয়া,শরীর কেঁপে উঠা,হাত-পা জোড়ে লাফালাফি করা। জিন দ্বারা আক্রান্ত হওয়ার লক্ষন।",1
"জিনের রোগীর মাঝে মাঝে কোন কিছুই ভালো লাগেনা, আত্মহত্যা করতে ইচ্ছা করে। কিন্তু মানসিক রোগীর এরকম ইচ্ছা হয় না।",1
"জিনের রোগী রাতে ভালোভাবে ঘুমাতে পারে না, আবার কেউ কেউ ঘুমাতে পারলেও অনেক আজেবাজে স্বপ্ন দেখে, যেমন ধরুন - সাপ, বিচ্ছু, কুকুর,ইদুর,ভয়ংকার কোন আকৃতি, কিংবা কোন প্রাণী তাকে তাড়া করছে, শূন্যে উড়তে দেখা, অনেক উঁচু থেকে পড়ে যাওয়া, ইত্যাদি। কিন্তু মানসিক রোগীর এই সমস্যাগুলো হয় না",1
"জিনে ধরা রোগীর কাছে ঘর-সংসার, স্ত্রী-সন্তানদের ভাল লাগে না। তবে মেয়েদের ক্ষেত্রেও এরকম হয়। ঘর-সংসার,স্বামী, সন্তানদের ভাল লাগে না, পিরিয়ডে সমস্যা হওয়া, যেমন ঃ দুই - তিন মাস পরে একবার হওয়া অথবা পাচঁ-সাত দিন পর পর হওয়া, কোন কারন ছারা লজ্জা স্থান ব্যাথা হওয়া।
 কিন্তু মানুষিক রুগীর এই সমস্যাগুল হয় না।",1
"#প্রাকৃতিক_অ্যান্টিবায়োটিক: গবেষণায় দেখা গেছে, খালি পেটে #রসুন খাওয়া হলে একটি শক্তিশালী #অ্যান্টিবায়োটিক এর মত কাজ করে। সকালে নাস্তার পূর্বে রসুন খেলে এটি আরও উপকারিভাবে কাজ করে। বিশেষ করে খালি পেটে রসুন খাওয়ার ফলে ব্যাকটেরিয়াগুলো উন্মুক্ত হয় এবং তখন রসুনের ক্ষমতার কাছে ব্যাকটেরিয়াগুলো হেরে যায়। ফলে শরীরের ক্ষতিকর ব্যাকটেরিয়াসমূহ আর রক্ষা পায় না।",1
ডায়ারিয়া এবং পেটের সমস্যা দূর করতে রসুন মধুর মিশ্রণ খেতে পারেন। এর অ্যান্টিব্যাকটেরিয়াল উপাদান দেহের ইনফেকশন দূর করে থাকে।,1
শরীরের বিভিন্ন অংশের ফাঙ্গাল ইনফেকশন দূর করে ব্যাকটেরিয়া ধ্বংস করে থাকে এই মিশ্রণটি।,1
"গাঁজা খেলে বলে
 স্মৃতি শক্তি বাড়ে",1
গাঁজা ক্যান্সার প্রতিরোধ করে,1
গাঁজা মৃগী রোগের ঝুঁকি কমায়,1
গাঁজা গ্লুকোমার ঝুঁকি কমায়,1
"ভাঙা হাড় জোড়া লাগাতে গাঁজার উপকারিতা অপরিসীম, দাবি গবেষকদের",1
গাঁজা খাওয়ার উপকারিতা কমবেশি সবাই আমরা জানি । বিশেষ করে তো আমি বেশি জানি ! আপনি যখন গাঁজা খাবেন তখন থেকেই আপনার মনের মধ্যে কিছু একটা আবিস্কার করার প্রবণতা বৃদ্ধি পাবে এবং সেই আবিষ্কার টি সবার থেকে আলাদা ধরণের মাত্রা বহন করে,1
"গাজা খাবার পর চোখ যেন লাল না হয়।এর জন্য কি করা যেতে পারে।
 পিল্জ হেল্প করেন. আইকুল ড্রপ ব্যবহার করুন.",1
ব্রেস্ট ম্যাসাজ করলে রক্তসঞ্চালন বাড়ে এবং মেয়েদের শরীরে প্রয়োজনীয় হরমোনের পরিমাণ বাড়ে। যা কিনা ব্রেস্ট ক্যান্সার রোধে বিশেষ ভূমিকা পালন করে।,1
"৫৷ #ডিপ্রেশনঃ
 ব্রেস্ট ম্যাসাজ শুধু ব্রেস্টের বৃদ্ধি ঘটাতে, বা ব্রেস্ট ক্যান্সার রোধে সাহায্য করে না, বিভিন্ন গবেষণা থেকে দেখা গেছে, নিয়মিত ব্রেস্ট ম্যাসাজ নাকি ডিপ্রেশন নিয়ন্ত্রণে রাখতে সাহায্য করে। ব্রেস্ট ম্যাসাজ তিনটি এমন হরমোনের বৃদ্ধি ঘটায় যা এই ডিপ্রেশনকে নিয়ন্ত্রণে রাখতে বেশ সাহায্য করে। এগুলি শরীরের এজিং প্রসেসকেও নিয়ন্ত্রণ করে। যেটি ত্বকের বুড়িয়ে যাওয়া নিয়ন্ত্রণ করে, তারুণ্য ধরে রাখতে সাহায্য করে।",1
"বেষ্ট ছোট টাইট শক্ত ইষ্টং খারা করুন,বেষ্ট বরো শক্ত খারা করুন,এক ফাইল ঔষধ এর বেশি লাগেনা৷
 ||গরিবের কিছু টিপস||
 (টিপস-১) আপনার হাতের কাছেই পাবেন আমলকি ফল। এটা স্তন ছোট ও সুন্দর করতে অনেক সাহায্য করে। কয়েকটি কাঁচা আমলকি পানিতে সিদ্ধ করে নিন,এরপর পানি ঠান্ডা হলে পানির সাথে আমলকিগুলো চটকিয়ে নিন। গোসলের একঘন্টা পূর্বে ভালো করে আমলকি সিদ্ধ পানি স্তনে ম্যাসেজ করতে হবে। কিছুক্ষন পরে দেখবেন স্তনের ত্বক টানটান ভাব আসবে।
 একটানা সাতদিন ব্যবহার করুন,দেখবেন বড় স্তন ও ঝুলে যাওয়া স্তনে পরিবর্তন আসবে।",1
"ডিমের সাদা অংশ নিন, এরপর দুই স্তনে গোসলের পূর্বে আলতোকরে ম্যসেজ করুন।এভাবে কয়েকদিন ম্যাসেজ করলে স্তনের টিস্যু কোষ গুলো স্বাভাবিক কাজ করতে শুরু করবে।এবং আস্তে আস্তে ছোট হবে।",1
সাইনাসের মাথাব্যথায় বেশ কার্যকরী লবঙ্গের তেল। এ ছাড়া বুকের ব্যথায় এর তেল মালিশে বেশ উপকার পাওয়া যায়। এর অ্যান্টি-ব্যাকটেরিয়া ও অ্যান্টি-ইনফ্ল্যামেটরি গুণের জন্য দাঁতের ব্যথায় এটি খুব উপকারী।,1
"যাদের রক্তে শর্করার মাত্রা কম, তাদের কখনোই বেশি পরিমাণে লবঙ্গ খেতে নেই। কেননা, তাদের ক্ষেত্রে অতিরিক্ত লবঙ্গ সেবন হাইপারগ্লাইসিমিয়ার কারণ হতে পারে।",1
"গাঁজানো রসুন মধু প্রতিদিন সকালে ১ চামচ বা ২ চামচ করে খাবেন। ১ বা ২ কোয়া রসুন এবং মধু এক সাথে খাবেন।অনেকে রাতে শোয়ার আগে খায়।
 কী উপকার হয়?
 সবচেয়ে বড় যে উপকার সেটা হলো ব্লাড প্রেসার নিয়ন্ত্রণ করে। এটা মূলত হাই ব্লাড প্রেসার কমায়। রক্তের কোলস্টোরেলের মাত্রা নিয়ন্ত্রণ করে।",1
"রসুন ও মধুর মিশ্রণ হলো এক উত্তম ভেষজ প্রতিকার, যা সর্দি-কাশি নিরাময়ের পাশাপাশি ওজন হ্রাস করতে বহু বছর ধরে ব্যবহৃত হচ্ছে। রোগ প্রতিরোধ ক্ষমতা বৃদ্ধির জন্য এই মিশ্রণের প্রাকৃতিক যৌগ রয়েছে, যা বৈজ্ঞানিকভাবে দেহে ইতিবাচক প্রভাব ফেলে বলে প্রমাণিত হয়েছে।",1
